alert_key,cust_id,risk_rank,occupation_code,total_asset,AGE,date,tx_time,amt,sar_flag
352249,3912,1,19.0,1465816.0,7,365,24.0,12865083.767,0.0
352253,5393,1,2.0,98177.0,2,365,5.0,20540650.5,0.0
352254,6924,1,19.0,2052922.0,7,365,13.0,1394017.0,0.0
352280,3431,3,15.0,201906.0,5,365,13.0,6514627.324999999,0.0
352282,84,1,12.0,7450.0,5,365,1.0,10474.0,0.0
352291,3932,1,17.0,182242.0,5,365,3.0,232045.0,0.0
352298,7637,3,12.0,2422.0,4,365,4.0,333942.0,0.0
352301,1317,1,19.0,2536600.0,4,365,1.0,2647.0,0.0
352302,4769,1,17.0,173255.0,4,365,4.0,864397.5,0.0
352305,4063,3,12.0,876408.0,3,365,13.0,15602633.105,0.0
352307,1613,1,12.0,552065.0,3,365,0.0,0.0,0.0
352309,4196,1,9.0,4826766.0,3,365,2.0,8280049.625,0.0
352312,5057,1,19.0,30480.0,4,365,0.0,0.0,0.0
352316,3753,1,9.0,332834.0,2,365,3.0,250212.0,0.0
352320,1588,3,19.0,567379.0,3,365,8.0,191038.6,0.0
352329,5559,1,17.0,20632.0,2,365,4.0,85217.0,0.0
352330,4533,1,19.0,143930.0,4,365,1.0,10267.0,0.0
352331,2320,1,5.0,729497.0,2,365,4.0,74735.0,0.0
352332,4253,1,12.0,296610.0,3,365,7.0,88283.0,0.0
352337,7685,2,17.0,41066.0,3,365,13.0,83101.823,0.0
352342,3491,1,17.0,506366.0,3,365,7.0,2860517.5949999997,0.0
352343,2466,1,12.0,106656.0,3,365,13.0,125333598.815,0.0
352344,1547,1,9.0,367478.0,3,365,6.0,490984.055,0.0
352465,480,3,15.0,226357.0,5,365,11.0,336096322.28,0.0
352470,6360,3,19.0,1889815.0,4,365,2.0,61544.0,0.0
352472,1175,1,19.0,18073.0,4,365,0.0,0.0,0.0
352476,6496,1,9.0,4197550.0,4,365,1.0,16.0,0.0
352480,5224,1,17.0,7658.0,4,365,1.0,300133.0,0.0
352484,6346,1,13.0,0.0,3,365,0.0,0.0,0.0
352487,2856,1,18.0,58111.0,3,365,4.0,240139.0,0.0
352488,5848,3,19.0,1415448.0,3,365,20.0,296780.675,0.0
352492,5036,3,1.0,2169802.0,2,365,8.0,89163.08499999999,0.0
352493,1470,1,12.0,324044.0,3,365,5.0,84893.0,0.0
352494,1368,1,17.0,3029925.0,4,365,32.0,298212.0,0.0
352495,464,3,14.0,927014.0,4,365,5.0,1547148.0,0.0
352497,2529,1,18.0,718481.0,3,365,5.0,13026186.48,0.0
352501,3562,1,3.0,96316.0,3,365,9.0,6979110.0,0.0
352503,635,1,13.0,1666968.0,3,365,1.0,1847.0,0.0
352507,4608,1,18.0,161909.0,3,365,0.0,1612.0,0.0
352508,2951,1,12.0,59830.0,3,365,6.0,20509918.26,0.0
352520,6326,1,5.0,6166.0,2,365,0.0,0.0,0.0
352522,5782,1,12.0,41872.0,2,365,1.0,300.0,0.0
352557,1924,3,19.0,187325.0,6,365,5.0,9083910.17,0.0
352558,2868,3,19.0,1302688.0,6,365,3.0,739770.0,0.0
352651,4494,3,3.0,262604.0,6,365,4.0,51230.0,0.0
352654,4204,1,18.0,171726.0,6,365,1.0,67459.0,0.0
352658,1339,3,19.0,344441.0,5,365,2.0,1027252.0,0.0
352660,6599,1,17.0,158772.0,5,365,7.0,1402555.0,0.0
352670,155,1,17.0,2384805.0,5,365,19.0,15053826.215,0.0
352680,829,1,19.0,0.0,2,365,0.0,0.0,0.0
352683,1946,3,17.0,2112.0,2,365,7.0,184145.88999999998,0.0
352684,3999,3,17.0,461707.0,3,365,11.0,247798.253,0.0
352685,2339,1,10.0,409561.0,4,365,4.0,210008.695,0.0
352686,7288,1,13.0,131985.0,4,365,0.0,0.0,0.0
352691,2749,3,12.0,848586.0,2,365,15.0,27509711.275,0.0
352692,941,1,13.0,2098.0,2,365,0.0,0.0,0.0
352693,3197,1,12.0,1705196.0,3,365,1.0,111382.0,0.0
352696,5997,1,2.0,444392.0,3,365,7.0,867563.225,0.0
352699,5306,1,15.0,242106.0,4,365,5.0,65399.17,0.0
352700,3910,1,17.0,114439.0,2,365,6.0,3202202.115,0.0
352704,6421,1,12.0,1402359.0,2,365,6.0,564225.0,0.0
